theme,start,end
Beyoncé,1.0,523.0
Frédéric_Chopin,524.0,1013.0
Sino-Tibetan_relations_during_the_Ming_dynasty,1014.0,1206.0
The_Legend_of_Zelda:_Twilight_Princess,1207.0,1455.0
Spectre_(2015_film),1456.0,1775.0
New_York_City,1776.0,2338.0
To_Kill_a_Mockingbird,2339.0,2504.0
Solar_energy,2505.0,2680.0
Kanye_West,2681.0,2960.0
Buddhism,2961.0,3382.0
American_Idol,3383.0,3907.0
Dog,3908.0,4182.0
2008_Summer_Olympics_torch_relay,4183.0,4538.0
Genome,4539.0,4683.0
Comprehensive_school,4684.0,4829.0
Republic_of_the_Congo,4830.0,5056.0
Prime_minister,5057.0,5197.0
Institute_of_technology,5198.0,5296.0
Dutch_Republic,5297.0,5435.0
Symbiosis,5436.0,5559.0
Iranian_languages,5560.0,5659.0
Lighting,5660.0,5757.0
Separation_of_powers_under_the_United_States_Constitution,5758.0,5918.0
Architecture,5919.0,6157.0
Southern_Europe,6158.0,6305.0
BBC_Television,6306.0,6459.0
Arnold_Schwarzenegger,6460.0,6624.0
Plymouth,6625.0,6869.0
Christian,6870.0,7025.0
Sony_Music_Entertainment,7026.0,7205.0
Oklahoma_City,7206.0,7321.0
Hunter-gatherer,7322.0,7537.0
United_Nations_Population_Fund,7538.0,7672.0
Russian_Soviet_Federative_Socialist_Republic,7673.0,7914.0
Alexander_Graham_Bell,7915.0,8134.0
Internet_service_provider,8135.0,8244.0
Comics,8245.0,8465.0
Saint_Helena,8466.0,8685.0
Aspirated_consonant,8686.0,8867.0
Hydrogen,8868.0,8991.0
Space_Race,8992.0,9097.0
BeiDou_Navigation_Satellite_System,9098.0,9320.0
Canon_law,9321.0,9454.0
Communications_in_Somalia,9455.0,9610.0
Boston,9611.0,9850.0
Universal_Studios,9851.0,10103.0
Estonian_language,10104.0,10303.0
Daylight_saving_time,10304.0,10483.0
Royal_Institute_of_British_Architects,10484.0,10641.0
National_Archives_and_Records_Administration,10642.0,10821.0
Tristan_da_Cunha,10822.0,10948.0
University_of_Kansas,10949.0,11190.0
Arena_Football_League,11191.0,11371.0
Bern,11372.0,11488.0
Westminster_Abbey,11489.0,11769.0
Political_corruption,11770.0,11897.0
Classical_music,11898.0,12113.0
Slavs,12114.0,12391.0
Treaty,12392.0,12585.0
Josip_Broz_Tito,12586.0,12806.0
Marshall_Islands,12807.0,12999.0
Szlachta,13000.0,13191.0
Virgil,13192.0,13341.0
Alps,13342.0,13595.0
Gene,13596.0,13785.0
Guinea-Bissau,13786.0,13946.0
List_of_numbered_streets_in_Manhattan,13947.0,14091.0
Brain,14092.0,14235.0
Near_East,14236.0,14405.0
Zhejiang,14406.0,14656.0
Ministry_of_Defence_(United_Kingdom),14657.0,14813.0
High-definition_television,14814.0,15091.0
Wood,15092.0,15321.0
Somalis,15322.0,15544.0
Middle_Ages,15545.0,15878.0
Phonology,15879.0,16029.0
Computer,16030.0,16185.0
Black_people,16186.0,16384.0
New_Delhi,16385.0,16561.0
Bird_migration,16562.0,16747.0
"Atlantic_City,_New_Jersey",16748.0,16898.0
MP3,16899.0,17080.0
House_music,17081.0,17377.0
Letter_case,17378.0,17419.0
Chihuahua_(state),17420.0,17610.0
Pitch_(music),17611.0,17632.0
England_national_football_team,17633.0,17719.0
Houston,17720.0,18097.0
Copper,18098.0,18319.0
Identity_(social_science),18320.0,18436.0
Himachal_Pradesh,18437.0,18598.0
Communication,18599.0,18688.0
Computer_security,18689.0,18931.0
Orthodox_Judaism,18932.0,19102.0
Animal,19103.0,19155.0
Beer,19156.0,19404.0
Race_and_ethnicity_in_the_United_States_Census,19405.0,19442.0
Imperial_College_London,19443.0,19616.0
Hanover,19617.0,19760.0
Emotion,19761.0,20024.0
Old_English,20025.0,20162.0
Aircraft_carrier,20163.0,20410.0
Federal_Aviation_Administration,20411.0,20478.0
Lancashire,20479.0,20614.0
Mesozoic,20615.0,20729.0
Videoconferencing,20730.0,20878.0
Gregorian_calendar,20879.0,21022.0
Xbox_360,21023.0,21210.0
Military_history_of_the_United_States,21211.0,21503.0
Infrared,21504.0,21629.0
ASCII,21630.0,21794.0
Digestion,21795.0,21850.0
Gymnastics,21851.0,21995.0
FC_Barcelona,21996.0,22169.0
Melbourne,22170.0,22398.0
"John,_King_of_England",22399.0,22578.0
Macintosh,22579.0,22910.0
Valencia,22911.0,23084.0
General_Electric,23085.0,23192.0
United_States_Army,23193.0,23406.0
Franco-Prussian_War,23407.0,23600.0
Adolescence,23601.0,23815.0
Antarctica,23816.0,24184.0
Eritrea,24185.0,24451.0
Uranium,24452.0,24720.0
Circadian_rhythm,24721.0,24867.0
Sexual_orientation,24868.0,25068.0
Dell,25069.0,25357.0
Nintendo_Entertainment_System,25358.0,25637.0
Seattle,25638.0,25825.0
Memory,25826.0,26021.0
Multiracial_American,26022.0,26362.0
Ashkenazi_Jews,26363.0,26493.0
Pharmaceutical_industry,26494.0,26895.0
Umayyad_Caliphate,26896.0,27123.0
Asphalt,27124.0,27391.0
Queen_Victoria,27392.0,27998.0
Israel,27999.0,28199.0
Hellenistic_period,28200.0,28528.0
Bill_%26_Melinda_Gates_Foundation,28529.0,28655.0
Dutch_language,28656.0,28817.0
Buckingham_Palace,28818.0,29069.0
Incandescent_light_bulb,29070.0,29357.0
Arsenal_F.C.,29358.0,29595.0
Chicago_Cubs,29596.0,29737.0
Korean_War,29738.0,29976.0
Copyright_infringement,29977.0,30233.0
Greece,30234.0,30531.0
Royal_Dutch_Shell,30532.0,30698.0
Mammal,30699.0,30839.0
East_India_Company,30840.0,31049.0
Hokkien,31050.0,31218.0
Professional_wrestling,31219.0,31384.0
Film_speed,31385.0,31580.0
Mexico_City,31581.0,31859.0
Napoleon,31860.0,32174.0
Germans,32175.0,32394.0
