theme,start,end
Beyoncé,1.0,523.0
Frédéric_Chopin,524.0,1013.0
Sino-Tibetan_relations_during_the_Ming_dynasty,1014.0,1206.0
The_Legend_of_Zelda:_Twilight_Princess,1207.0,1455.0
Spectre_(2015_film),1456.0,1775.0
New_York_City,1776.0,2338.0
To_Kill_a_Mockingbird,2339.0,2504.0
Solar_energy,2505.0,2680.0
Kanye_West,2681.0,2960.0
Buddhism,2961.0,3382.0
American_Idol,3383.0,3907.0
Dog,3908.0,4182.0
2008_Summer_Olympics_torch_relay,4183.0,4538.0
Genome,4539.0,4683.0
Comprehensive_school,4684.0,4829.0
Republic_of_the_Congo,4830.0,5056.0
Prime_minister,5057.0,5197.0
Institute_of_technology,5198.0,5296.0
Dutch_Republic,5297.0,5435.0
Symbiosis,5436.0,5559.0
Iranian_languages,5560.0,5659.0
Lighting,5660.0,5757.0
Separation_of_powers_under_the_United_States_Constitution,5758.0,5918.0
Architecture,5919.0,6157.0
Southern_Europe,6158.0,6305.0
BBC_Television,6306.0,6459.0
Arnold_Schwarzenegger,6460.0,6624.0
Plymouth,6625.0,6869.0
